date,open,high,low,close,volume,returns,volatility_20d,cum_returns,rolling_max,drawdown,vol_state,risk_regime,risk_signal,hmm_state
2010-06-21,5266.5,5366.75,5266.5,5353.2998046875,0,0.017234770901867202,0.22561707930388722,1.023145064189917,1.027225584211947,-0.003972369929980497,High Volatility,Medium Risk,NEUTRAL,0
2010-06-22,5353.9501953125,5354.35009765625,5311.0498046875,5316.5498046875,0,-0.006864924689594432,0.19688349346303805,1.0161212503777228,1.027225584211947,-0.010810024599166442,High Volatility,Medium Risk,NEUTRAL,0
2010-06-23,5316.14990234375,5333.2998046875,5288.14990234375,5323.14990234375,0,0.0012414249651966358,0.1854780337322327,1.0173826886656085,1.027225584211947,-0.009582019468381608,High Volatility,Medium Risk,NEUTRAL,0
2010-06-24,5323.25,5348.2998046875,5284.5498046875,5320.60009765625,0,-0.00047900298399961017,0.17911365099919282,1.0168953593218681,1.027225584211947,-0.010056432636463154,High Volatility,Medium Risk,NEUTRAL,0
2010-06-25,5320.5,5320.5,5259.89990234375,5269.0498046875,0,-0.009688811792387453,0.18090353498722203,1.0070428515728465,1.027225584211947,-0.019647809545732992,High Volatility,Medium Risk,NEUTRAL,0
2010-06-28,5271.10009765625,5339.4501953125,5270.75,5333.5,0,0.012231844013917526,0.18443327836719595,1.0193608426486163,1.027225584211947,-0.007656294473393982,High Volatility,Medium Risk,NEUTRAL,0
2010-06-29,5333.5498046875,5334.14990234375,5235.7998046875,5256.14990234375,0,-0.014502690101481197,0.17120216530465404,1.0045773682460986,1.027225584211947,-0.022047947708801946,High Volatility,Medium Risk,NEUTRAL,0
2010-06-30,5254.25,5320.35009765625,5210.0,5312.5,0,0.010720793490140546,0.17162544612959552,1.0153472347559338,1.027225584211947,-0.011563525712928931,High Volatility,Medium Risk,NEUTRAL,0
2010-07-01,5312.0498046875,5312.5498046875,5232.10009765625,5251.39990234375,0,-0.01150119485294121,0.1690363350069909,1.0036695283656107,1.027225584211947,-0.022931726203458774,High Volatility,Medium Risk,NEUTRAL,0
2010-07-02,5251.25,5277.25,5225.60009765625,5237.10009765625,0,-0.002723046226420056,0.16911990376042363,1.000936489843822,1.027225584211947,-0.025592328279375173,High Volatility,Medium Risk,NEUTRAL,0
2010-07-05,5237.0,5252.75,5225.85009765625,5235.89990234375,0,-0.0002291717343797517,0.15044059412700925,1.0007071034924404,1.027225584211947,-0.025815634975496424,Medium Volatility,Medium Risk,NEUTRAL,0
2010-07-06,5236.10009765625,5297.4501953125,5231.5,5289.0498046875,0,0.010151053942027977,0.14682694314967706,1.0108653352801626,1.027225584211947,-0.01592663693665251,Medium Volatility,Medium Risk,NEUTRAL,0
2010-07-07,5293.10009765625,5296.75,5233.4501953125,5241.10009765625,0,-0.009065845246674309,0.1529427685704006,1.001700986585285,1.027225584211947,-0.024848093757559253,Medium Volatility,Medium Risk,NEUTRAL,0
